budget,genres,keywords,overview,release_date,tagline,title,cast,director
200000000,Animation Drama,holiday based on novel victorian england money christmas eve,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption.",11/4/2009,Season's Greedings,A Christmas Carol,Gary Oldman Jim Carrey Steve Valentine Daryl Sabara Sage Ryan,Robert Zemeckis
176000003,Science Fiction Fantasy Action Adventure,jupiter space woman director 3d interspecies romance,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…",2/4/2015,Expand your universe.,Jupiter Ascending,Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth,Lilly Wachowski
180000000,Action Adventure,africa feral child tarzan jungle animal attack,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",6/29/2016,Human. Nature.,The Legend of Tarzan,Alexander Skarsg\u00e5rd Margot Robbie Christoph Waltz Samuel L. Jackson Djimon Hounsou,David Yates
180000000,Adventure Family Fantasy,saving the world witch based on novel brother sister relationship self sacrifice,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",12/7/2005,Evil Has Reigned For 100 Years...,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",William Moseley Anna Popplewell Skandar Keynes Georgie Henley Liam Neeson,Andrew Adamson
178000000,Science Fiction,mutant supernatural powers marvel comic superhero based on comic book,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",5/18/2016,Only the strong will survive,X-Men: Apocalypse,James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar Isaac,Bryan Singer
185000000,Drama Action Crime Thriller,dc comics crime fighter secret identity scarecrow sadism,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",7/16/2008,Why So Serious?,The Dark Knight,Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie Gyllenhaal,Christopher Nolan
175000000,Animation Comedy Family Adventure,age difference central and south america balloon animation floating in the air,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",5/13/2009,,Up,Ed Asner Christopher Plummer Jordan Nagai Bob Peterson Delroy Lindo,Pete Docter
175000000,Animation Family Adventure Science Fiction,alien giant robot duringcreditsstinger,"When Susan Murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49-feet-11-inches. The military jumps into action and captures Susan, secreting her away to a covert government compound. She is renamed Ginormica and placed in confinement with a ragtag group of Monsters...",3/19/2009,"When aliens attack, monsters fight back.",Monsters vs Aliens,Seth Rogen Reese Witherspoon Hugh Laurie Paul Rudd Kiefer Sutherland,Conrad Vernon
140000000,Action Science Fiction Adventure,middle east arms dealer malibu marvel comic superhero,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",4/30/2008,Heroes aren't born. They're built.,Iron Man,Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth Paltrow,Jon Favreau
170000000,Adventure Drama Family,library clock film director key toy,"Hugo is an orphan boy living in the walls of a train station in 1930s Paris. He learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running. The only thing that he has left that connects him to his dead father is an automaton (mechanical man) that doesn't work without a special key which Hugo needs to find to unlock the secret he believes it contains. On his adventures, he meets with a shopkeeper, George Melies, who works in the train station and his adventure-seeking god-daughter. Hugo finds that they have a surprising connection to his father and the automaton, and he discovers it unlocks some memories the old man has buried inside regarding his past.",11/22/2011,One of the most legendary directors of our time takes you on an extraordinary adventure.,Hugo,Ben Kingsley Sacha Baron Cohen Asa Butterfield Chlo\u00eb Grace Moretz Ray Winstone,Martin Scorsese
170000000,Action Adventure Comedy Science Fiction Western,steampunk based on tv series steam locomotive drag,Legless Southern inventor Dr. Arliss Loveless plans to rekindle the Civil War by assassinating President U.S. Grant. Only two men can stop him: gunfighter James West and master-of-disguise and inventor Artemus Gordon. The two must team up to thwart Loveless' plans.,6/29/1999,It's a whole new west.,Wild Wild West,Will Smith Kevin Kline Kenneth Branagh Salma Hayek M. Emmet Walsh,Barry Sonnenfeld
145000000,Adventure Action Fantasy,,"Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power.",7/1/2008,A New Evil Awakens.,The Mummy: Tomb of the Dragon Emperor,Brendan Fraser Jet Li John Hannah Maria Bello Luke Ford,Rob Cohen
175000000,Action Adventure Crime Fantasy Science Fiction,dc comics shared universe anti hero secret mission villain,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.",8/2/2016,Worst Heroes Ever,Suicide Squad,Will Smith Margot Robbie Joel Kinnaman Viola Davis Jared Leto,David Ayer
175000000,Fantasy Comedy Family,father son relationship daily life married couple support father,God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood.,6/9/2007,A comedy of biblical proportions,Evan Almighty,Steve Carell Lauren Graham John Goodman Jimmy Bennett John Michael Higgins,Tom Shadyac
178000000,Action Science Fiction,deja vu time warp restart dystopia war,"Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.",5/27/2014,"Live, Die, Repeat",Edge of Tomorrow,Tom Cruise Emily Blunt Brendan Gleeson Bill Paxton Jonas Armstrong,Doug Liman
175000000,Adventure Action,ocean tattoo mutant water dystopia,"In a futuristic world where the polar ice caps have melted and made Earth a liquid planet, a beautiful barmaid rescues a mutant seafarer from a floating island prison. They escape, along with her young charge, Enola, and sail off aboard his ship. But the trio soon becomes the target of a menacing pirate who covets the map to 'Dryland' – which is tattooed on Enola's back.",7/28/1995,Beyond the horizon lies the secret to a new beginning.,Waterworld,Kevin Costner Chaim Girafi Rick Aviles R. D. Call Zitto Kazann,Kevin Reynolds
175000000,Adventure Action Thriller Science Fiction,terrorist secret hostage technology warhead,"From the Egyptian desert to deep below the polar ice caps, the elite G.I. JOE team uses the latest in next-generation spy and military equipment to fight the corrupt arms dealer Destro and the growing threat of the mysterious Cobra organization to prevent them from plunging the world into chaos.",8/4/2009,"When all else fails, they don't.",G.I. Joe: The Rise of Cobra,Dennis Quaid Channing Tatum Marlon Wayans Sienna Miller Joseph Gordon-Levitt,Stephen Sommers
175000000,Drama Comedy Animation Family,dream cartoon imaginary friend animation family,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",6/9/2015,Meet the little voices inside your head.,Inside Out,Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black,Pete Docter
